Date,High,Low,Open,Close,Volume,Adj Close
2017-01-10,108.790000916,107.61000061,108.569999695,108.260002136,3081000,108.260002136
2017-01-11,109.050003052,108.0,108.230003357,108.989997864,1784000,108.989997864
2017-01-12,108.739997864,107.160003662,107.989997864,108.589996338,1617900,108.589996338
2017-01-13,108.900001526,107.980003357,108.839996338,108.529998779,1593500,108.529998779
2017-01-17,108.050003052,107.059997559,107.790000916,108.0,1697800,108.0
2017-01-18,109.169998169,107.529998779,108.5,108.790000916,2536900,108.790000916
2017-01-19,109.980003357,108.040000916,108.629997253,109.790000916,3090500,109.790000916
2017-01-20,110.809997559,109.569999695,110.019996643,110.709999084,3179200,110.709999084
2017-01-23,111.919998169,110.300003052,110.709999084,110.970001221,2574200,110.970001221
2017-01-24,114.169998169,111.339996338,111.459999084,113.720001221,3654400,113.720001221
2017-01-25,114.569999695,113.290000916,113.769996643,114.25,3919300,114.25
2017-01-26,114.440002441,112.730003357,113.790000916,112.879997253,2745200,112.879997253
2017-01-27,114.010002136,112.75,113.069999695,113.989997864,1696800,113.989997864
2017-01-30,113.870002747,112.260002136,113.220001221,113.819999695,2176500,113.819999695
2017-01-31,113.75,112.699996948,113.220001221,113.379997253,1716600,113.379997253
2017-02-01,113.63999939,112.680000305,113.309997559,113.36000061,1859100,113.36000061
2017-02-02,113.580001831,112.269996643,112.819999695,113.160003662,1695400,113.160003662
2017-02-03,115.449996948,113.419998169,113.550003052,115.169998169,2507500,115.169998169
2017-02-06,114.830001831,113.290000916,114.680000305,114.459999084,3067500,114.459999084
2017-02-07,115.190002441,114.540000916,114.830001831,114.959999084,1643500,114.959999084
2017-02-08,116.379997253,114.449996948,115.0,116.129997253,2591700,116.129997253
2017-02-09,116.900001526,116.019996643,116.260002136,116.440002441,1688900,116.440002441
2017-02-10,116.940002441,115.029998779,116.510002136,116.849998474,2612900,116.849998474
2017-02-13,117.940002441,116.199996948,117.029998779,117.650001526,1910400,117.650001526
2017-02-14,117.790000916,116.669998169,117.650001526,117.580001831,1556500,117.580001831
2017-02-15,119.089996338,117.069999695,117.330001831,118.730003357,1699600,118.730003357
2017-02-16,119.470001221,118.470001221,118.839996338,118.930000305,1649300,118.930000305
2017-02-17,119.720001221,118.239997864,118.790000916,119.669998169,2143300,119.669998169
2017-02-21,120.169998169,119.309997559,119.730003357,119.629997253,2032300,119.629997253
2017-02-22,119.88999939,118.849998474,119.669998169,119.470001221,1981800,119.470001221
2017-02-23,120.150001526,118.029998779,120.099998474,118.830001831,2381700,118.830001831
2017-02-24,119.319999695,117.830001831,118.300003052,119.309997559,1942500,119.309997559
2017-02-27,119.199996948,118.069999695,119.019996643,118.779998779,1550400,118.779998779
2017-02-28,118.839996338,118.019996643,118.830001831,118.339996338,2008000,118.339996338
2017-03-01,120.569999695,118.379997253,119.239997864,120.349998474,2356500,120.349998474
2017-03-02,120.120002747,119.279998779,120.089996338,119.900001526,1819700,119.900001526
2017-03-03,120.129997253,119.480003357,119.830001831,120.040000916,1361100,120.040000916
2017-03-06,120.480003357,119.370002747,119.730003357,120.150001526,1979700,120.150001526
2017-03-07,120.690002441,119.690002441,120.059997559,119.980003357,1872500,119.980003357
2017-03-08,120.660003662,119.349998474,120.209999084,119.599998474,2962800,119.599998474
2017-03-09,120.260002136,119.11000061,119.819999695,119.910003662,1984200,119.910003662
2017-03-10,121.370002747,120.239997864,120.569999695,121.089996338,2211000,121.089996338
2017-03-13,121.959999084,120.88999939,121.11000061,121.800003052,1805200,121.800003052
2017-03-14,121.989997864,120.620002747,121.650001526,121.440002441,1507500,121.440002441
